,FLAG_TSUNAMI,YEAR,MONTH,FOCAL_DEPTH,EQ_PRIMARY,COUNTRY,LATITUDE,LONGITUDE,REGION_CODE,avg_density,sum_density,density_deviation,max_density,HDI,HDI_pop_wgt,max_HDI,SoilDensity,Soil_pop_wgt,max_soil,dist_to_closest_pop,pop_dist_deviation,avg_pop_distance,eq_mag_unlogged,Years_Before_Data_Age,avg_diff,avg_pred,ct,actual
1100,0,2011,11.0,5.0,5.0,USA,35.531,-96.788,150.0,35864.324,2510502.8,82739.18222895794,474427.9,0.809211,0.8092111,0.809211,1.4224285772868563,1.4081858886099508,1.519999980926528,0.1280820049834918,0.2806759123106445,0.7876964718643858,100000.0,4,-0.1469479343521326,0.1469479343521326,2,0.0
1101,0,2011,11.0,5.0,5.7,TURKEY,38.429,43.229,140.0,32818.17,2297272.0,34287.09702429894,174754.16,0.7672,0.7672134,0.774,1.4505714450563765,1.4715311089655108,1.69000005722053,0.117183616585776,0.2802295238139803,0.7871945445223673,501187.2336272725,4,1.4538725244061617,0.5461274755938383,4,2.0
1102,0,2011,11.0,5.0,5.7,USA,35.532,-96.765,150.0,35789.258,2505248.0,82745.06255108453,474427.9,0.809211,0.809211,0.809211,1.428428576673779,1.4107197825133764,1.519999980926528,0.1440451318175279,0.2806144926283535,0.7877550376171759,501187.2336272725,4,-0.4362774082765064,0.4362774082765064,4,0.0
1103,0,2011,11.0,28.0,5.6,CHINA,43.648,82.437,40.0,24891.56,1742409.2,60341.58886438952,487721.9,0.7083121,0.7083121,0.7083121,1.4972857202802328,1.3592882000582531,1.7699999809265563,0.0661286624506394,0.2802628623460255,0.7864054591363495,398107.1705534969,4,-0.31512588179258755,0.31512588179258755,3,0.0
1104,0,2011,11.0,46.0,5.0,PHILIPPINES,7.904,125.185,170.0,184079.88,12885591.0,195252.1797971727,1363748.1,0.5815546,0.6073824,0.7466452,1.3999999812671142,1.365883146518542,1.539999961853086,0.066640828305739,0.2815664018751243,0.787401467142238,100000.0,4,-0.24450695453528065,0.24450695453528065,4,0.0
1105,0,2011,11.0,114.0,5.8,INDIA,24.955,95.236,60.0,30832.578,2158280.5,32022.097184318507,205814.94,0.5696,0.58558935,0.624,1.425714339528761,1.4033789416262017,1.440000057220491,0.1368247053528021,0.2804554552499338,0.787566386279423,630957.344480193,4,-0.31092462751335026,0.31092462751335026,2,0.0
1106,0,2011,12.0,10.0,5.8,NEW ZEALAND,-43.49,172.8,170.0,7731.563,541209.4,35535.29688197137,268538.1,0.915,0.915,0.915,1.2398571491241506,1.2330570810270156,1.5299999713898371,0.1372953021923875,0.4207378743574251,1.003031798624255,630957.344480193,4,-0.2842772772797557,0.2842772772797557,4,0.0
1107,0,2011,12.0,15.0,6.7,RUSSIA,51.842,95.911,40.0,355.93573,24915.502,455.3214593092753,1745.2054,0.7207403,0.7207403,0.7207403,1.495000014986316,1.5420236444377922,1.7699999809266345,0.0488364617814019,0.2797940243489061,0.7856417392511245,5011872.336272725,4,-0.6901516835289151,0.6901516835289151,2,0.0
1108,0,2011,12.0,32.0,5.3,CHINA,38.31,76.888,40.0,39861.43,2790300.0,59688.783973426864,272556.0,0.7083121,0.70831215,0.7083121,1.6884285688400396,1.6067663782612402,1.879999995231742,0.0662872536815641,0.2914243601605353,0.8029280088611213,199526.2314968879,4,-0.25973008050623236,0.25973008050623236,4,0.0
1109,0,2011,12.0,54.0,6.4,MEXICO,17.844,-99.963,150.0,53436.945,3740586.2,108384.42180735736,837244.25,0.7080635,0.71532065,0.7712908,1.5191428763525845,1.510743860831195,1.5900000333787991,0.0933005895015411,0.2807689405402959,0.7872646799424077,2511886.4315095823,4,-0.4242787945808186,1.4242787945808186,4,1.0
